	time	dac1	dac2	dac3	dac4	adc1.3	adc2.3	adc3.3	adc4.3	imu1accx	imu1accy	imu1accz	imu1gyrox	imu1gyroy	imu1gyroz	imu2accx	imu2accy	imu2accz	imu2gyrox	imu2gyroy	imu2gyroz	imu3accx	imu3accy	imu3accz	imu3gyrox	imu3gyroy	imu3gyroz	log
0	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.006	9.853336932373047	0.15442600708007811	0.037110125732421874	2.3956298828125	-3.757476806640625	-0.698089599609375	9.783905084228515	0.19033903198242186	0.16519991455078123	0.667572021484375	-5.05828857421875	-3.406524658203125	9.955689053344726	0.4213794921875	-0.17417817077636719	2.643585205078125	-4.608154296875	-1.79290771484375	Estabizou em 10s, 2356 rpm
1	0.004	0.0	0.0	0.0	0.0	0.009000000000000001	0.003	0.006	0.006	9.852139831542969	0.15083470458984374	0.04967968444824218	2.460479736328125	-3.88336181640625	-0.743865966796875	9.777919580078125	0.1975216369628906	0.18375497741699218	0.43487548828125	-4.657745361328125	-3.093719482421875	9.958083255004881	0.41898529052734373	-0.14305354919433594	2.46429443359375	-4.627227783203125	-1.70135498046875	Started
2	0.008	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.003	9.841964474487304	0.11073182678222655	0.034715924072265626	2.277374267578125	-3.849029541015625	-0.713348388671875	9.777919580078125	0.16041151123046873	0.16041151123046873	0.530242919921875	-5.2642822265625	-3.2806396484375	9.986215124511718	0.3890577697753906	-0.1388636962890625	2.643585205078125	-4.703521728515625	-1.678466796875	IMU1|LSM6DS3|0x6A|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
3	0.012	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.85752678527832	0.1197100830078125	0.02154781494140625	2.552032470703125	-3.849029541015625	-0.8392333984375	9.781510882568359	0.17597382202148437	0.15682020874023436	0.736236572265625	-5.016326904296875	-3.42559814453125	9.979631069946288	0.4070142822265625	-0.15682020874023436	2.826690673828125	-4.848480224609375	-1.804351806640625	IMU2|LSM6DS3|0x6B|I2C-1|±2g (±19,6m/s²)|±125º/s|400Hz
4	0.016	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.866505041503906	0.17238251953125	0.044891281127929686	2.5177001953125	-3.726959228515625	-0.865936279296875	9.780912332153319	0.2166752502441406	0.17118541870117188	0.81634521484375	-4.852294921875	-3.292083740234375	9.962273107910155	0.4590881683349609	-0.17896657409667968	2.74658203125	-4.547119140625	-1.52587890625	IMU3|LSM6DS3|0x6B|I2C-2|±2g (±19,6m/s²)|±125º/s|400Hz
5	0.02	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.87608184814453	0.1771709228515625	0.04548983154296875	2.50244140625	-3.82232666015625	-0.6866455078125	9.787496386718749	0.2280477081298828	0.16280571289062498	0.78582763671875	-5.023956298828125	-3.30352783203125	9.97783541870117	0.4704606262207031	-0.18315642700195311	2.76947021484375	-4.61578369140625	-1.575469970703125	ADC|ADS1015|0|0|1|0|±6,144 V|2400 SPS
6	0.024	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.882067352294921	0.15023615417480468	0.01915361328125	2.6702880859375	-3.66973876953125	-0.77056884765625	9.809642752075195	0.18854338073730467	0.14484920043945312	0.675201416015625	-5.0048828125	-3.170013427734375	9.993397729492187	0.4327519500732422	-0.19093758239746092	2.849578857421875	-4.75311279296875	-1.834869384765625	Gen1|Disabled
7	0.028	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.006	9.862315188598632	0.13407529296874998	0.03232172241210937	2.5787353515625	-3.65447998046875	-0.812530517578125	9.78629928588867	0.18854338073730467	0.15682020874023436	0.812530517578125	-4.917144775390625	-3.368377685546875	9.982623822021484	0.4159925384521484	-0.1927332336425781	2.67791748046875	-4.50897216796875	-1.73187255859375	Gen2|Enabled|Noise|0.0|10.0|1668
8	0.032	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.003	9.841365924072266	0.16220716247558592	0.055066638183593745	2.81524658203125	-3.7841796875	-0.782012939453125	9.770736975097655	0.21188684692382811	0.16340426330566404	0.469207763671875	-4.894256591796875	-3.154754638671875	9.962273107910155	0.4483142608642578	-0.19632453613281248	2.6702880859375	-4.72259521484375	-1.552581787109375	Gen3|Enabled|Noise|0.0|10.0|128
9	0.036000000000000004	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.006	9.853336932373047	0.16041151123046873	0.023942016601562498	2.445220947265625	-3.612518310546875	-0.728607177734375	9.784503634643555	0.2059013427734375	0.1352723937988281	0.579833984375	-5.07354736328125	-3.18145751953125	9.97783541870117	0.4381389038085937	-0.2328361114501953	2.70843505859375	-4.566192626953125	-1.819610595703125	Gen4|Enabled|Noise|0.0|10.0|128
10	0.04	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.009000000000000001	9.859322436523437	0.1610100616455078	0.025139117431640625	2.536773681640625	-3.772735595703125	-0.865936279296875	9.785102185058593	0.20350714111328125	0.1352723937988281	0.8087158203125	-5.21087646484375	-3.124237060546875	9.974244116210937	0.43454760131835934	-0.24660277099609373	2.765655517578125	-4.535675048828125	-1.77001953125	Ctrl|Disabled
11	0.044	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.006	9.85094273071289	0.15861585998535155	0.05386953735351562	2.552032470703125	-3.871917724609375	-0.858306884765625	9.783905084228515	0.20829554443359374	0.16280571289062498	0.743865966796875	-5.229949951171875	-3.223419189453125	9.961674557495117	0.43574470214843747	-0.21787235107421873	2.6397705078125	-4.749298095703125	-1.934051513671875	
12	0.048	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.006	9.861118087768554	0.14484920043945312	0.05386953735351562	2.26593017578125	-3.932952880859375	-0.77056884765625	9.787496386718749	0.18315642700195311	0.16280571289062498	0.3509521484375	-4.863739013671875	-3.08990478515625	9.993397729492187	0.42377369384765623	-0.20769699401855468	2.513885498046875	-4.6539306640625	-1.705169677734375	
13	0.052000000000000005	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.003	9.872490545654296	0.13467384338378904	0.04189852905273437	2.346038818359375	-3.658294677734375	-0.705718994140625	9.794678991699218	0.17776947326660156	0.14544775085449219	0.751495361328125	-5.0201416015625	-3.3111572265625	10.000580334472655	0.4052186309814453	-0.20350714111328125	2.66265869140625	-4.512786865234375	-1.850128173828125	
14	0.056	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.009000000000000001	9.86411083984375	0.16340426330566404	0.04668693237304687	2.41851806640625	-3.68499755859375	-0.766754150390625	9.784503634643555	0.20949264526367187	0.1592144104003906	0.457763671875	-4.8675537109375	-3.307342529296875	9.967061511230469	0.43993455505371093	-0.19692308654785154	2.689361572265625	-4.627227783203125	-1.8768310546875	
15	0.06	0.0	0.0	0.0	0.0	0.0	0.006	0.006	0.003	9.859322436523437	0.1693897674560547	0.05686228942871093	2.593994140625	-4.100799560546875	-0.873565673828125	9.78031378173828	0.21128829650878905	0.16639701538085935	0.52642822265625	-4.932403564453125	-3.18145751953125	9.973047015380859	0.4537012145996093	-0.19093758239746092	2.788543701171875	-4.528045654296875	-1.941680908203125	
16	0.064	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.006	9.861716638183593	0.12090718383789062	0.06763619689941405	2.368927001953125	-3.70025634765625	-0.911712646484375	9.780912332153319	0.16340426330566404	0.1771709228515625	0.48828125	-5.100250244140625	-3.12042236328125	9.98501802368164	0.39145197143554683	-0.16639701538085935	2.7008056640625	-4.596710205078125	-1.8310546875	
17	0.068	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.85692823486328	0.10235212097167969	0.06643909606933593	2.330780029296875	-3.814697265625	-0.988006591796875	9.785102185058593	0.14245499877929688	0.1927332336425781	0.640869140625	-4.8980712890625	-3.276824951171875	9.996989031982421	0.38786066894531246	-0.1562216583251953	2.597808837890625	-4.9285888671875	-1.811981201171875	
18	0.07200000000000001	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.003	9.855132583618163	0.11851298217773437	0.07781155395507812	2.3193359375	-3.932952880859375	-0.9613037109375	9.785102185058593	0.16460136413574217	0.22266075439453123	0.52642822265625	-5.077362060546875	-3.326416015625	9.986813674926758	0.39983167724609375	-0.1352723937988281	2.60162353515625	-4.589080810546875	-1.7852783203125	
19	0.076	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.003	9.859920986938477	0.11192892761230468	0.086191259765625	2.452850341796875	-3.757476806640625	-0.904083251953125	9.794678991699218	0.14604630126953125	0.22026655273437498	0.316619873046875	-4.8828125	-3.31878662109375	9.976638317871092	0.39983167724609375	-0.12808978881835936	2.69317626953125	-4.505157470703125	-1.636505126953125	
20	0.08	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.003	9.85094273071289	0.1005564697265625	0.08439560852050781	2.38037109375	-3.68499755859375	-0.8087158203125	9.785102185058593	0.12449848632812499	0.2154781494140625	0.782012939453125	-5.016326904296875	-3.299713134765625	9.988609326171874	0.3687070556640625	-0.11671733093261719	2.552032470703125	-4.802703857421875	-1.5716552734375	
21	0.084	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.834183319091796	0.09038111267089843	0.10295067138671875	2.4566650390625	-3.787994384765625	-0.843048095703125	9.776722479248047	0.1304839904785156	0.2316390106201172	0.415802001953125	-4.756927490234375	-3.200531005859375	9.974244116210937	0.3699041564941406	-0.09337386474609374	2.590179443359375	-4.49371337890625	-1.64031982421875	
22	0.088	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.841365924072266	0.09038111267089843	0.09457096557617187	2.712249755859375	-3.65447998046875	-0.858306884765625	9.779116680908203	0.143652099609375	0.22026655273437498	0.67138671875	-5.096435546875	-3.246307373046875	9.97783541870117	0.3752911102294922	-0.105344873046875	2.666473388671875	-4.611968994140625	-1.83868408203125	
23	0.092	0.0	0.0	0.0	0.0	0.006	0.003	0.006	0.006	9.85752678527832	0.09756371765136718	0.076614453125	2.605438232421875	-3.688812255859375	-0.92315673828125	9.779715231323241	0.1484405029296875	0.21966800231933592	0.583648681640625	-5.1116943359375	-3.299713134765625	9.98501802368164	0.3711012573242187	-0.1352723937988281	2.574920654296875	-4.604339599609375	-1.983642578125	
24	0.096	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.87009634399414	0.12449848632812499	0.0796072052001953	2.67791748046875	-3.65447998046875	-0.850677490234375	9.785102185058593	0.1580173095703125	0.19871873779296872	0.774383544921875	-5.077362060546875	-3.337860107421875	9.989806427001952	0.3938461730957031	-0.1514332550048828	2.86865234375	-4.596710205078125	-1.8768310546875	
25	0.1	0.0	0.0	0.0	0.0	0.003	0.003	0.006	0.006	9.850344180297851	0.1352723937988281	0.09038111267089843	2.483367919921875	-3.8909912109375	-1.033782958984375	9.779116680908203	0.17776947326660156	0.19871873779296872	0.415802001953125	-4.99725341796875	-3.21197509765625	9.973047015380859	0.4207809417724609	-0.15562310791015624	2.63214111328125	-4.7760009765625	-1.781463623046875	
26	0.10400000000000001	0.0	0.0	0.0	0.0	0.006	0.006	0.003	0.003	9.84435867614746	0.12509703674316405	0.08918401184082031	2.552032470703125	-3.635406494140625	-0.827789306640625	9.782707983398437	0.17118541870117188	0.18914193115234373	0.774383544921875	-5.100250244140625	-3.0975341796875	9.974244116210937	0.4052186309814453	-0.16519991455078123	2.60162353515625	-4.673004150390625	-1.82342529296875	
27	0.108	0.0	0.0	0.0	0.0	0.003	0.006	0.003	0.003	9.859322436523437	0.13407529296874998	0.08140285644531249	2.414703369140625	-3.6468505859375	-0.81634521484375	9.789890588378906	0.17836802368164062	0.17118541870117188	0.77056884765625	-5.218505859375	-3.154754638671875	9.993397729492187	0.40880993347167965	-0.19093758239746092	2.8076171875	-4.67681884765625	-1.789093017578125	
28	0.112	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.866505041503906	0.1592144104003906	0.059256491088867186	2.4261474609375	-3.810882568359375	-0.820159912109375	9.790489138793944	0.21607669982910155	0.15682020874023436	0.67901611328125	-4.7607421875	-3.326416015625	9.976638317871092	0.44412440795898434	-0.2041056915283203	2.803802490234375	-4.852294921875	-1.857757568359375	
29	0.116	0.0	0.0	0.0	0.0	0.003	0.006	0.006	0.003	9.862315188598632	0.17417817077636719	0.05566518859863281	2.5634765625	-3.719329833984375	-0.858306884765625	9.787496386718749	0.2184709014892578	0.1640028137207031	0.579833984375	-4.833221435546875	-3.10516357421875	9.977236868286132	0.4578910675048828	-0.20231004028320312	2.635955810546875	-4.734039306640625	-1.903533935546875	
30	0.12	0.0	0.0	0.0	0.0	0.006	0.003	0.003	0.006	9.865906491088866	0.15502455749511718	0.04848258361816406	2.47955322265625	-3.612518310546875	-0.78582763671875	9.788693487548828	0.1945288848876953	0.16699556579589842	0.637054443359375	-5.0811767578125	-3.337860107421875	9.988609326171874	0.4291606475830078	-0.19931728820800781	2.40325927734375	-4.45556640625	-1.750946044921875	
31	0.124	0.0	0.0	0.0	0.0	0.006	0.006	0.006	0.006	9.85692823486328	0.14484920043945312	0.06464344482421874	2.3193359375	-4.077911376953125	-0.812530517578125	9.78031378173828	0.1945288848876953	0.15682020874023436	0.64849853515625	-5.0201416015625	-3.070831298828125	9.991003527832031	0.4267664459228515	-0.19512743530273435	2.719879150390625	-4.718780517578125	-1.9683837890625	
