Fs_[Hz]   	1000,00000000
Tempo[s]  	Eixo_x 	Eixo_y 	Eixo_z 	Sinal_4
0,00000000	0,00012002	0,00426310	0,00834129	0,00000000
0,00100000	-0,00504085	-0,01356442	0,00373490	0,00000000
0,00200000	-0,00240040	-0,00968887	0,01132921	0,00000000
0,00300000	-0,00096016	-0,01601894	0,00074698	0,00000000
0,00400000	0,00036006	-0,00749273	0,00323692	0,00000000
0,00500000	0,00360061	-0,00955969	0,00510437	0,00000000
0,00600000	0,00360061	-0,00594251	-0,00610034	0,00000000
0,00700000	-0,00216036	-0,00684680	0,00248994	0,00000000
0,00800000	0,00672113	-0,00710517	0,00473088	0,00000000
0,00900000	0,00684115	-0,00878458	0,00298792	0,00000000
0,01000000	0,00636107	-0,00064592	-0,00311242	0,00000000
0,01100000	0,00324055	-0,00930132	-0,00497987	0,00000000
0,01200000	-0,00120020	-0,00271288	0,00000000	0,00000000
0,01300000	-0,00072012	-0,00452147	0,00423289	0,00000000
0,01400000	0,00132022	0,00142103	0,00236544	0,00000000
0,01500000	-0,00396067	-0,00387555	0,00522887	0,00000000
0,01600000	0,00840142	-0,01627731	0,00199195	0,00000000
0,01700000	0,00528089	-0,00439229	0,01045773	0,00000000
0,01800000	0,00252042	-0,00968887	0,00597585	0,00000000
0,01900000	0,00504085	0,00180859	0,01132921	0,00000000
0,02000000	0,00000000	-0,00361718	0,00024899	0,00000000
0,02100000	0,00156026	-0,00620088	-0,00136946	0,00000000
0,02200000	0,00072012	-0,01110991	0,00398390	0,00000000
0,02300000	-0,00036006	-0,00943050	0,01008424	0,00000000
0,02400000	-0,00132022	-0,00167940	-0,00062248	0,00000000
0,02500000	0,00360061	-0,01666486	-0,00273893	0,00000000
0,02600000	0,00168028	-0,00723436	0,00597585	0,00000000
0,02700000	0,01008170	-0,00180859	0,00722081	0,00000000
0,02800000	0,00588099	-0,00361718	-0,00971075	0,00000000
0,02900000	0,00636107	-0,00555495	0,00087148	0,00000000
0,03000000	0,00228038	-0,01291850	0,00497987	0,00000000
0,03100000	-0,01404237	-0,00245451	-0,00709632	0,00000000
0,03200000	-0,00288049	0,00025837	0,00273893	0,00000000
0,03300000	0,00144024	-0,01343524	-0,00634934	0,00000000
0,03400000	0,00804136	-0,00968887	-0,00224094	0,00000000
0,03500000	0,00144024	-0,00607169	0,00585135	0,00000000
0,03600000	0,00204034	-0,00271288	0,00186745	0,00000000
0,03700000	0,00864146	-0,00426310	0,00273893	0,00000000
0,03800000	-0,00612103	-0,00555495	-0,00473088	0,00000000
0,03900000	0,00288049	-0,01304768	-0,00697182	0,00000000
0,04000000	0,00396067	-0,01072235	0,00273893	0,00000000
0,04100000	0,00540091	-0,00684680	-0,00099597	0,00000000
0,04200000	0,00276047	-0,00129185	-0,00037349	0,00000000
0,04300000	0,00264045	-0,01059317	-0,00112047	0,00000000
0,04400000	0,00240040	-0,00555495	-0,00261443	0,00000000
0,04500000	-0,00624105	-0,01304768	-0,00024899	0,00000000
0,04600000	0,00372063	-0,01782752	-0,00161846	0,00000000
