,Classificação,Rotação,RMS_a1_X,RMS_a1_Y,RMS_a1_Z,RMS_a2_X,RMS_a2_Y,RMS_a2_Z,RMS_a3_X,RMS_a3_Y,RMS_a3_Z,RMS_g1_X,RMS_g1_Y,RMS_g1_Z,RMS_g2_X,RMS_g2_Y,RMS_g2_Z,RMS_g3_X,RMS_g3_Y,RMS_g3_Z,FC_a1_X,FC_a1_Y,FC_a1_Z,FC_a2_X,FC_a2_Y,FC_a2_Z,FC_a3_X,FC_a3_Y,FC_a3_Z,FC_g1_X,FC_g1_Y,FC_g1_Z,FC_g2_X,FC_g2_Y,FC_g2_Z,FC_g3_X,FC_g3_Y,FC_g3_Z,FI_a1_X,FI_a1_Y,FI_a1_Z,FI_a2_X,FI_a2_Y,FI_a2_Z,FI_a3_X,FI_a3_Y,FI_a3_Z,FI_g1_X,FI_g1_Y,FI_g1_Z,FI_g2_X,FI_g2_Y,FI_g2_Z,FI_g3_X,FI_g3_Y,FI_g3_Z,KU_a1_X,KU_a1_Y,KU_a1_Z,KU_a2_X,KU_a2_Y,KU_a2_Z,KU_a3_X,KU_a3_Y,KU_a3_Z,KU_g1_X,KU_g1_Y,KU_g1_Z,KU_g2_X,KU_g2_Y,KU_g2_Z,KU_g3_X,KU_g3_Y,KU_g3_Z
0,Normal,462.475,0.0554534388081517,0.5827131713038433,0.0877544045237435,0.0535588973279388,0.6720214940148928,0.1668206842035764,0.1348088966917446,0.1979518208203315,0.2437083892770379,3.2438193131749866,3.758537680261815,0.5667886080589218,0.283043627384706,5.226290596651098,3.8334468875565055,2.786743316581876,4.592441097224963,1.52417921959838,3.727221576199256,1.4421585508947652,3.308061320334072,2.8079965623616303,1.2594095492524204,2.321427467937282,2.214338616519812,1.8928472507183352,2.2128656528813524,1.526434296346439,1.295065827462566,2.2142918586326896,3.382831906582653,1.1131055999461277,1.2637883527406348,1.362028485620433,1.1280185803251876,1.3364887236689336,4.696226789408979,1.4601819611366955,4.163876440186132,3.5278403775500435,1.2627502951477882,2.4793261750933104,2.583816257537118,1.959228026600433,2.685086179047864,1.5555722804210257,1.3008472226300114,2.345737459929956,4.000433513113772,1.1135837945152385,1.264765892829116,1.3657699346132497,1.128634027036021,1.345848887885243,3.4498581546821403,2.8514095669296298,3.109979294546125,2.581995466631145,2.916340225931425,2.981961683195708,1.6195501844737887,2.8756623834074304,1.7555518153659675,2.6095078650522403,2.7339435738018145,3.032859410623492,4.235112195984807,3.7621600438468423,6.200113064759018,3.340591592352069,4.523801299357955,2.728718097671401
1,Normal,562.954,0.058651609301816,0.5821510855866149,0.0928613382755661,0.0595334733493095,0.6736085045465051,0.1688003351372289,0.1465549207614478,0.2003468685962074,0.2552750955976743,3.257101481005436,3.7520540351753775,0.5631634459571879,0.2994524816013015,5.238173411797746,3.842120196865877,2.7816337659474963,4.586635123722045,1.5236287692321615,3.8811640607363302,1.543283513880799,3.3066114339624177,3.169652558923312,1.309756788717426,2.379304094181458,2.273744669478774,1.9419208920081688,2.105564866978645,1.5553454500245414,1.367455738687357,2.214998176487122,3.108293268551942,1.10621101879399,1.2649068918693966,1.397443675460922,1.2267551952619324,1.5823333876072556,4.881794411348192,1.5632798172972693,4.087506095403829,3.976092125111148,1.3153348410604349,2.6050725537941664,2.6274154875341327,2.018453007929726,2.557652564829942,1.592075683058013,1.375057098095858,2.330161842922864,3.697955818521303,1.1067043699012549,1.2660693416439424,1.4017624514748082,1.2274907326530178,1.5947031631643755,3.119854636375908,2.988923076846357,2.6191262685973844,2.594318543323293,2.832746771686248,2.775783090248001,1.6132129292747333,3.0692188947908767,1.8220504345646595,2.4182571987469355,2.734981257256781,3.020936253544974,4.062034015949051,2.841785113503604,5.7149188578064205,3.384981441212892,4.916978547669763,2.971288177533114
2,Normal,631.579,0.0732187144743451,0.5899300727698792,0.098731110676894,0.0743348098374797,0.6731183114698878,0.1744345705433899,0.1573511139637105,0.2045138269508407,0.2585353647476022,3.266734694646088,3.755753741530748,0.5802499132626647,0.2956775467926635,5.244869181791339,3.8396145872839176,2.785637821670864,4.5916993101095605,1.525827740765089,3.3787629788218423,1.6426576075335146,3.407085476358134,3.005541424050956,1.3427225367489009,2.7004920823224543,2.467698500948475,2.212584452191099,2.7156812280836395,1.8088294939094496,1.3722028547481064,2.577098753391949,3.122173963816706,1.1157085911283182,1.266725840082925,1.3406583562276655,1.1115851881173082,1.5075505509019416,4.159622577670946,1.6808149969809696,4.225119160389134,3.751289435779072,1.3505488057928707,3.025563900524688,2.91991910891267,2.3548350120358235,3.299901087363826,1.8587637169322453,1.3812092563716585,2.7427854945829986,3.72163407417432,1.1162598454991588,1.2681555110756226,1.3450211411494586,1.1123141321422538,1.520618374718698,2.7985880787551047,2.967573277988881,2.672577613724105,2.7196642864677387,2.9694803169966204,2.8700323546575186,1.9436465625314503,2.9643810135325603,2.0349629124251605,2.6204878374570058,2.6825243572825754,3.10316163289365,3.156410252645636,3.1089275030187045,5.223675852350675,3.0267749565866464,4.715521236810858,2.78153814421598
3,Normal,736.122,0.0873288195546228,0.5896738125922064,0.1313955888559241,0.0766285572305355,0.673544441594835,0.1741751175254272,0.1593700246478681,0.2138954974182377,0.2555281480224919,3.29242786717334,3.7615907461047473,0.5915853329617725,0.6450895759443506,5.235956960125293,3.842630620753967,2.7730074821137407,4.58198595065256,1.5246863377848487,4.292740038604159,1.73980154700618,3.616932909841658,2.853087083937209,1.3685327681980008,2.261208022656892,2.519063531983024,2.445741350605615,2.297899318323381,1.7356239026163596,1.3558759015509871,3.185441464182685,43.80083588410342,1.1146934286997243,1.262753410558865,1.3894099684665826,1.2887755289486422,1.4286165519371523,5.304728747585871,1.7818388826768252,4.434981165294095,3.5355502808027057,1.3776638113838686,2.541404029168212,2.985441671053865,2.6926973063168096,2.7954133564337256,1.7930259191591882,1.3660895100265045,3.4128372422064337,104.94355405436038,1.115256918747775,1.2640621950400266,1.3940017622390592,1.2896517940156158,1.442655091738715,2.887344551121656,2.870149986032286,2.7117205256551937,2.6480137130780816,2.8226383387778062,2.650414521719468,1.935840921099799,3.0804201363264445,1.94324255794932,2.623925460052074,2.725234122583569,3.3349350679232685,1908.3784943102337,3.194796294397679,3.768453336619511,3.024488469003888,4.638999477706393,2.7438860166430805
4,Normal,819.589,0.0681915810931036,0.5805240107707597,0.1091824715970174,0.0656206503108171,0.6738281924001265,0.1711659688934226,0.1553277171997258,0.2170191438294502,0.2654024578831434,3.296408508709343,3.768141930888401,0.5859316040775575,0.3182965476990497,5.239996445851247,3.849560572246155,2.772086096109368,4.581643947141856,1.5209196888177552,3.504963108070121,1.5218326825529385,3.305712858385356,2.766169190689048,1.5091935401650556,2.1715754021799665,2.326438229369023,2.3636518725352484,2.528141678153633,1.8122195420214176,1.4780382772098528,2.246116351263452,4.542211576353177,1.1596978751678209,1.2664258722455068,1.3664778991107411,1.397942918061081,1.4446953650182437,4.380897566663918,1.5486704307612116,4.091852937583976,3.467371916496077,1.5211212929047526,2.4052725433297657,2.673432532677569,2.623330190642946,3.071788323368062,1.8749200824294368,1.4897570022660631,2.395001735508504,5.490525583821058,1.1602851227702569,1.2680060832542237,1.371273464242767,1.3989391059054397,1.4603707110484143,2.943256028057884,2.9721108092493003,2.732040853907063,2.5450218068020103,2.8687292689205157,2.7899494131175078,1.6095178053787738,2.8608124014241976,1.9415960850733407,2.650084510290211,2.7813609578992406,3.041703860597324,3.875165547581211,3.968744838986373,4.83025020492662,2.969149480482736,8.217781540275086,2.7458369701811707
5,Normal,919.077,0.0714777770090709,0.5874959747701372,0.1129242814686721,0.0697232895235428,0.6759204525399879,0.1822717501436717,0.1574625204350242,0.2281283269470058,0.2753518465819039,3.3174817933705434,3.7757308363755455,0.6193226601570816,0.355166122367071,5.233094255869545,3.847481011379421,2.7918110931259807,4.60036027148782,1.5402166881580954,3.4024397385317258,1.6820655420084136,3.090167034311232,2.80492991148689,1.4699861281473237,2.459592671441865,2.2530839962963047,2.615873143770397,2.423748818296158,1.701818519217538,1.4619333799381966,2.7656005220787496,4.242537013044736,1.1138452962770995,1.2532296662385003,1.3568233159086067,1.165049983459174,1.4340253120086712,4.187593921779648,1.7181679979086426,3.804360593349744,3.535248377645507,1.485657498310288,2.793150255821239,2.595980897243961,2.9825938574721014,2.94152718815327,1.767284882024181,1.4746490803978272,3.021664459303765,5.174817112792672,1.1144704062886472,1.2549443217740783,1.3630156879948654,1.16586906286366,1.4511074531284776,2.7954932924231257,3.06899905395694,2.65811860722695,2.650781322096852,2.898761087733318,3.20798972677958,1.6571377500399211,2.7934524178692355,2.1238089583772424,2.594148473275384,2.6628290138552697,3.196677821096249,3.226162248741037,3.712514663638741,3.852558531201301,2.8192219867220274,3.262074494957649,2.7414326430033498
6,Normal,983.804,0.1269381195700132,0.6908460067175812,0.1494205882265167,0.0801385549851251,0.6782225621214388,0.2028388989865989,0.1609514509262345,0.2446254814393888,0.2788290899916695,3.3160999806289566,3.776675117048164,1.031597724769682,0.3472316404562065,5.2361960493793225,3.8498063005946994,2.789527578597924,4.596588141375832,1.5390594330807932,3.486077457461548,2.1530091610996607,3.308798664831699,2.892441173528395,1.5523667876227234,2.646926822086086,2.4199359908809197,2.901908615812846,3.460411067840144,1.879682569416683,1.4928799496527747,2.9250021250124947,3.823138486727072,1.1029861383514945,1.2584179953665122,1.3141738050527525,1.1485782178528507,1.5813403973600728,4.271860073488048,2.5780543563827645,4.100786000532209,3.592522666504842,1.5750628950640986,3.1349868728977763,2.804857952269301,3.411877476200285,4.204288791866841,1.9659148385904512,1.508871511117463,3.5927893489920204,4.68048935323169,1.1036391516936706,1.2609989892149835,1.3192699069729388,1.1494424705704525,1.6021359133580968,2.6186406514359386,1.836892014272601,2.7536004617050898,2.782251924808004,2.7301515272590806,2.9535304508009874,1.7021860088989973,2.9716826610389946,2.300349941781872,2.7634138560724804,2.836361588725393,2.3715958371565127,3.6636942658027967,3.925584199675457,3.256977628672304,2.8412000498623,3.522517590995325,2.918354901950789
7,Normal,1077.448,0.0956977967419761,0.5930606372546461,0.1167192505754441,0.0749146900091774,0.6855695351707375,0.1859656716077624,0.1591544750742565,0.236417078339931,0.274191373059815,3.34769058373376,3.788293305403125,0.6418428063644679,0.3568345387749279,5.228993268927892,3.866047853072408,2.772671235202044,4.58179451311263,1.5322771415817142,3.579582910750545,1.8933655482704763,3.276869182455384,3.301867321172335,1.6116878149886489,2.436485509757153,3.225747466758014,2.8254399719090464,2.724341432163853,1.923477938989569,1.4711829987211231,2.5615844022574583,3.549206577747585,1.1271208380421227,1.2718789219028666,1.318035811123654,1.2455353667744713,1.461372250590648,4.3866731402767165,1.958953041932455,4.085980801645136,4.145149995250988,1.65503124118019,2.801765297194386,3.76344557242532,3.287957942421847,3.293685940711541,2.0199225632530133,1.487288114888273,2.881486017772952,4.360113888276021,1.127789911353523,1.2744140760171685,1.3228053857786546,1.2465490755372075,1.4800821786002811,2.6560102391670384,2.9765938953870568,2.850611157830678,2.83264997771923,2.5092641134717084,2.9271798452923488,1.819562258105901,2.907509184893444,2.469601818086238,2.731084308583342,2.7784114154058077,2.8656255303352207,3.5603412451042877,4.107213568089074,3.172182788185647,2.887664939025099,3.7232726923283095,2.8725501580183472
8,Normal,1172.678,0.1667105791712096,0.6012392983350346,0.1226934915012691,0.0787948547331222,0.6785743150159779,0.1895468572631005,0.1641723591515279,0.2489153866524987,0.2854651200263902,3.385579344657128,3.7926696199986414,0.6518313674900289,0.3504489857654215,5.23598609023869,3.858047303368104,2.765750179380784,4.573316493663775,1.5281979028899622,2.675939474468916,1.8845340595776572,3.1417026491675712,3.336774698025484,1.5744959206414546,2.8767526719987284,2.693295312862177,2.678762334947132,3.610612093701608,1.9684300512891373,1.5087119289972717,2.586706126001281,2.906340755123886,1.1205156571116472,1.231999615147084,1.3116792422740031,1.1961288676358155,1.5251820624077266,3.138625856541422,1.9680324167063803,3.880902104847032,4.158959265663107,1.601312196849623,3.3455649046936338,3.1313893275950395,3.1835702625959645,4.4224923543787815,2.083084921183793,1.5289896436434804,2.914552187628584,3.5407947293878004,1.1212416533838168,1.234107156157541,1.3169848110521476,1.1971724689736978,1.548017422923427,2.039751398924132,2.8078656889009266,2.7158244560825286,2.6761743834400664,2.837588555913289,3.100229152183819,1.8042485944073168,2.711477691298712,2.523003216007764,2.7117102778665,2.7578267303618795,2.850778668337151,3.0494309648628644,4.44065800516794,3.377703831052114,2.765442271418807,3.3028019355338527,2.8117944301608846
9,Normal,1256.798,0.237974903203837,0.6188344629046144,0.1247397756577278,0.0765544043607172,0.6814886333048225,0.1879637915954337,0.1641464565192143,0.2614982707337767,0.2879743845932747,3.4000555008338256,3.8013163357292816,0.6725556557910902,0.3578026367399138,5.245744130501572,3.85574812505552,2.771625661541844,4.577092966845795,1.5360079912859674,2.214148292749861,2.340677662966224,3.2341166048211942,3.496978170804765,1.6362700252389994,3.047463249865078,2.8687495015836038,3.101495891740026,3.545895269465879,2.1810736567554163,1.6357377270933795,2.609093726412086,3.5076192054529445,1.1082505147380557,1.2515319685064077,1.362575886553118,1.2693174417976838,1.7111411079412115,2.543719230013938,2.530464915417641,4.033995690687098,4.363977656156211,1.6714642385605631,3.5642458100558665,3.3801070915527704,3.7182698492495416,4.308167841774582,2.324451314702011,1.660190227244394,2.979421266849923,4.335953356212406,1.108918176100281,1.253882078387355,1.3684179098536042,1.2705418164259783,1.7410878539285413,1.79629913396295,2.832796189479658,2.8253872879051203,2.6740120298459766,2.782739982470862,3.209422176802703,1.873692712169227,2.8892711745593798,2.72288310276884,2.9414072995494887,2.9996217742614006,2.982969592012524,3.204724319681368,3.2348334266418965,3.25651673182848,2.917726062635294,3.668671088072352,2.8755493039310034
